0,10,33,0.452
1,25,9,2.306
2,35,8,2.146
3,21,29,3.283
4,18,19,2.757
5,13,19,0.32
6,14,18,0.222
7,29,13,2.049
8,19,32,1.11
9,17,24,0.124
10,13,23,0.398
11,17,17,1.032
12,44,4,2.015
13,37,7,0.947
14,10,32,0.264
15,21,20,2.46
16,17,24,2.002
17,23,11,2.126
18,13,26,0.525
19,37,9,3.172
20,29,8,1.993
21,25,26,2.507
22,18,23,1.7
23,17,20,0.559
24,34,6,3.94
25,13,33,1.449
26,42,5,2.973
27,17,23,2.175
28,20,18,2.389
29,25,10,2.503
30,7,60,0.211
31,10,25,0.203
32,29,14,0.719
33,19,14,1.094
34,41,6,2.078
35,7,47,0.873
36,35,5,4.148
37,29,13,1.756
38,24,10,1.708
39,32,8,2.629
40,19,12,0.479
41,26,7,2.589
42,17,11,1.783
43,25,15,2.148
44,32,10,0.464
45,11,56,1.673
46,55,5,1.369
47,32,15,2.471
48,44,8,1.788
49,35,6,3.317
50,11,50,0.771
51,29,14,1.499
52,27,15,2.247
53,18,16,1.511
54,48,4,2.819
55,43,4,2.087
56,28,4,1.391
57,18,22,0.475
58,33,6,2.641
59,11,18,0.952
60,8,59,0.252
61,20,11,2.692
62,34,13,1.715
63,27,4,1.749
64,23,24,1.745
65,19,17,0.706
66,5,48,0.063
67,53,4,2.412
68,19,30,0.587
69,38,11,2.836
70,24,13,2.655
71,32,6,0.723
72,32,10,1.507
73,25,15,2.878
74,8,58,1.423
75,25,14,2.949
76,21,16,1.452
77,21,16,0.571
78,18,25,1.131
79,29,6,0.382
80,26,16,0.654
81,22,9,2.903
82,32,9,1.543
83,8,45,0.229
84,18,22,0.764
85,33,9,1.065
86,50,2,1.9
87,23,22,3.004
88,3,66,0.091
89,19,17,0.742
90,25,10,0.851
91,22,31,3.778
92,38,8,1.902
93,11,28,0.376
94,12,27,0.558
95,30,8,3.906
96,27,11,0.444
97,11,39,0.133
98,6,48,0.356
99,20,14,0.92
100,24,18,1.408
101,14,20,0.466
102,37,8,1.507
103,7,51,1.352
104,23,13,0.269
105,21,24,3.118
106,43,4,1.824
107,21,21,0.304
108,31,9,0.984
109,20,22,1.294
110,20,17,3.117
111,23,19,1.056
112,22,11,2.234
113,8,33,0.2
114,41,6,2.273
115,12,33,0.272
116,43,9,3.023
117,7,61,0.518
118,18,28,2.575
119,44,4,2.675
120,9,41,0.603
121,45,8,2.151
122,26,13,1.484
123,33,10,2.318
124,16,22,0.446
125,27,8,0.769
126,24,10,1.595
127,34,12,2.448
128,39,9,2.131
129,40,8,1.246
130,34,11,0.88
131,54,3,3.11
132,31,10,2.907
133,14,27,0.747
134,16,24,2.186
135,16,20,0.236
136,34,5,2.258
137,18,22,2.047
138,26,8,2.7
139,22,10,3.651
140,30,11,1.892
141,9,32,0.307
142,13,24,0.064
143,35,7,2.508
144,42,9,1.007
145,15,25,0.238
146,26,14,0.422
147,21,12,0.33
148,20,19,4.023
149,12,23,0.693
150,15,22,0.686
151,32,13,3.091
152,23,9,0.89
153,18,12,1.846
154,40,3,1.281
155,27,16,0.845
156,23,21,1.035
157,29,8,3.733
158,18,24,0.881
159,26,12,2.349
160,12,37,1.541
161,20,12,1.063
162,27,10,1.976
163,13,25,1.801
164,17,19,0.193
165,16,16,2.165
166,2,81,0.0
167,18,17,0.924
168,32,7,1.464
169,24,12,0.803
170,15,22,0.933
171,33,17,1.687
172,38,7,1.758
173,47,7,2.514
174,26,16,3.516
175,35,7,2.832
176,15,27,0.406
177,12,23,1.389
178,8,39,0.363
179,29,16,3.087
180,29,11,2.542
181,16,23,0.904
182,25,12,1.948
183,13,22,1.67
184,29,11,1.618
185,17,17,1.01
186,22,19,1.981
187,25,14,1.829
188,5,46,0.386
189,17,26,1.496
190,26,9,3.191
191,20,14,2.474
192,14,24,0.409
193,22,21,1.619
194,18,17,2.185
195,31,9,3.138
196,20,18,1.562
197,11,43,0.527
198,20,23,1.256
199,25,18,2.716
