0,10,33,0.003
1,25,11,0.414
2,35,10,1.448
3,21,29,0.137
4,16,20,0.031
5,13,19,0.013
6,14,18,0.008
7,29,13,0.332
8,19,32,0.037
9,17,24,0.011
10,13,23,0.005
11,17,17,0.061
12,33,10,0.64
13,34,7,1.213
14,10,32,0.005
15,22,22,0.164
16,17,24,0.04
17,27,13,0.502
18,13,26,0.008
19,35,12,1.233
20,29,8,0.203
21,25,26,0.212
22,18,23,0.045
23,17,20,0.029
24,34,6,1.929
25,13,33,0.008
26,40,5,6.585
27,17,23,0.023
28,21,23,0.108
29,25,10,0.617
30,7,60,0.001
31,13,30,0.004
32,29,14,0.358
33,19,14,0.047
34,39,9,0.989
35,7,47,0.003
36,38,6,1.328
37,30,14,0.084
38,25,14,0.096
39,31,13,0.558
40,19,20,0.016
41,26,7,0.268
42,17,11,0.102
43,25,15,0.083
44,21,12,0.084
45,11,56,0.007
46,41,6,5.131
47,27,18,0.155
48,37,10,0.635
49,35,6,1.649
50,11,50,0.008
51,25,14,0.174
52,27,15,0.25
53,18,16,0.032
54,51,6,8.871
55,40,7,4.134
56,44,6,0.492
57,18,22,0.015
58,31,13,0.567
59,11,18,0.043
60,8,59,0.001
61,20,11,0.135
62,34,13,0.148
63,47,6,1.543
64,20,25,0.047
65,19,17,0.02
66,5,48,0.001
67,45,6,1.512
68,19,30,0.027
69,31,11,0.347
70,29,22,0.245
71,32,6,0.708
72,36,13,0.176
73,25,15,0.2
74,8,58,0.002
75,25,14,0.151
76,21,18,0.047
77,21,16,0.037
78,18,25,0.031
79,27,9,0.136
80,26,16,0.136
81,22,9,0.281
82,35,10,0.308
83,8,45,0.003
84,17,23,0.049
85,24,13,0.156
86,53,4,78.863
87,23,22,0.257
88,3,66,0.0
89,19,17,0.031
90,25,10,0.29
91,22,31,0.187
92,29,15,0.913
93,11,28,0.004
94,12,27,0.009
95,33,11,1.291
96,24,17,0.072
97,11,39,0.004
98,6,48,0.002
99,20,14,0.033
100,24,18,0.153
101,14,20,0.023
102,39,10,0.308
103,7,51,0.002
104,23,13,0.032
105,21,24,0.089
106,34,5,3.935
107,19,22,0.038
108,39,10,0.501
109,20,22,0.017
110,20,17,0.088
111,23,19,0.086
112,22,11,0.341
113,8,33,0.002
114,34,13,2.084
115,12,33,0.006
116,36,9,6.176
117,7,61,0.002
118,18,28,0.053
119,48,5,16.52
120,9,41,0.006
121,39,10,2.438
122,26,13,0.426
123,39,11,0.941
124,16,22,0.024
125,38,10,0.239
126,24,10,0.71
127,34,14,0.536
128,35,12,0.91
129,32,11,0.891
130,26,13,0.259
131,47,6,17.367
132,31,10,0.411
133,14,27,0.013
134,16,24,0.026
135,16,20,0.013
136,36,8,4.389
137,18,22,0.027
138,26,8,0.784
139,22,10,0.113
140,30,11,0.375
141,9,32,0.006
142,13,24,0.008
143,33,7,1.123
144,39,9,0.867
145,15,25,0.008
146,28,16,0.107
147,22,15,0.043
148,20,19,0.095
149,12,23,0.006
150,15,22,0.008
151,32,13,0.731
152,23,13,0.22
153,18,12,0.068
154,39,6,9.144
155,27,16,0.08
156,18,21,0.027
157,29,8,0.448
158,18,24,0.044
159,26,12,0.122
160,12,37,0.007
161,20,12,0.046
162,27,10,0.164
163,13,25,0.027
164,17,19,0.017
165,16,16,0.016
166,2,81,0.0
167,18,17,0.047
168,32,7,0.267
169,24,13,0.052
170,15,23,0.02
171,33,18,0.148
172,38,7,1.371
173,40,10,3.332
174,26,16,0.615
175,35,7,0.629
176,15,27,0.006
177,12,23,0.01
178,8,39,0.004
179,29,16,0.547
180,29,18,0.476
181,16,23,0.013
182,23,16,0.211
183,13,22,0.011
184,29,11,0.282
185,17,17,0.017
186,23,24,0.043
187,25,14,0.238
188,5,46,0.001
189,17,26,0.02
190,33,12,0.765
191,20,14,0.124
192,14,24,0.019
193,22,21,0.037
194,18,17,0.033
195,28,10,0.309
196,20,18,0.06
197,11,43,0.008
198,20,23,0.062
199,27,21,0.262
