18,5,70,0.005
23,8,44,0.128
25,14,33,173.032
28,9,49,0.366
29,12,36,10.699
30,7,58,0.041
32,8,56,0.157
34,14,47,141.616
35,9,42,0.428
36,10,48,0.626
40,17,36,118.301
43,15,32,24.804
47,13,53,0.662
48,2,70,0.0
51,19,31,89.64
52,13,39,26.731
53,5,62,0.005
54,13,45,32.512
56,6,62,0.008
57,17,41,64.872
58,6,56,0.018
59,12,38,12.085
62,11,41,3.695
65,14,39,125.495
66,14,45,0.457
67,17,39,35.008
68,10,50,0.182
75,14,28,242.909
77,3,57,0.001
79,10,43,2.324
83,8,48,0.08
84,12,32,50.563
86,9,42,0.796
89,13,33,13.304
90,7,48,0.188
92,16,31,117.049
93,5,61,0.006
96,6,62,0.01
97,13,38,21.073
100,11,45,1.993
104,6,64,0.024
108,6,53,0.027
109,15,37,139.048
111,6,51,0.109
112,15,44,1.227
114,14,38,54.929
115,7,44,0.191
117,23,35,31.382
118,14,39,31.333
119,9,51,0.306
120,16,27,45.265
121,3,94,0.002
124,9,44,0.107
126,8,53,0.061
127,4,58,0.007
128,10,36,0.075
132,9,46,0.15
133,8,48,0.264
135,11,35,1.928
140,14,37,191.381
141,6,56,0.019
143,5,52,0.007
145,6,66,0.013
148,9,40,0.375
152,10,54,0.138
153,12,42,0.545
154,4,65,0.002
155,15,44,83.897
158,9,47,0.424
160,14,40,7.499
161,7,51,0.051
165,14,39,127.549
169,14,49,107.038
170,14,27,271.849
171,12,36,0.866
176,6,52,0.004
179,14,41,173.836
181,13,35,30.587
184,12,43,4.319
189,15,29,69.862
191,21,42,21.962
192,7,55,0.037
194,19,36,25.072
196,7,55,0.003
199,11,41,3.67
2,24,26,223.059
3,6,57,0.023
4,5,53,0.009
7,7,38,0.349
8,8,51,0.04
9,12,43,0.936
10,7,61,0.048
11,10,33,6.683
12,12,41,6.904
13,4,66,0.003
14,9,42,1.168
15,10,36,1.114
18,5,70,0.007
23,8,44,0.173
25,14,33,242.914
28,9,49,0.508
29,12,36,14.576
30,7,58,0.057
32,8,56,0.199
34,14,47,189.28
35,9,42,0.545
36,10,48,0.799
40,17,36,153.915
43,15,32,31.258
47,13,53,0.83
48,2,70,0.0
51,19,31,102.232
52,13,39,30.939
53,5,62,0.006
54,13,45,37.132
56,6,62,0.008
57,17,41,72.635
58,6,56,0.02
59,12,38,13.583
62,11,41,4.308
65,14,39,146.747
66,14,45,0.525
67,17,39,40.576
68,10,50,0.209
75,14,28,229.183
77,3,57,0.002
79,10,43,2.216
83,8,48,0.047
84,12,32,25.542
86,9,42,0.466
89,13,33,10.529
90,7,48,0.156
92,16,31,94.448
93,5,61,0.005
96,6,62,0.008
97,13,38,14.697
100,11,45,1.717
103,14,33,211.381
104,6,64,0.018
108,6,53,0.02
109,15,37,101.601
111,6,51,0.08
112,15,44,0.899
114,14,38,42.038
115,7,44,0.142
117,23,35,24.615
118,14,39,23.928
119,9,51,0.235
120,16,27,34.612
121,3,94,0.001
124,9,44,0.086
126,8,53,0.06
127,4,58,0.007
128,10,36,0.074
132,9,46,0.118
133,8,48,0.207
135,11,35,1.508
140,14,37,145.985
141,6,56,0.016
143,5,52,0.007
145,6,66,0.011
148,9,40,0.333
152,10,54,0.121
153,12,42,0.469
154,4,65,0.001
155,15,44,73.184
158,9,47,0.37
160,14,40,7.375
161,7,51,0.051
165,14,39,124.036
169,14,49,102.943
170,14,27,259.681
171,12,36,0.83
176,6,52,0.004
179,14,41,168.382
181,13,35,29.926
184,12,43,4.195
189,15,29,66.382
191,21,42,21.608
192,7,55,0.036
194,19,36,24.138
196,7,55,0.003
199,11,41,3.541
