0,6,72,0.289
1,4,61,0.051
4,2,79,0.0
5,7,75,3.434
7,4,67,0.252
11,6,77,670.115
13,3,83,0.097
14,6,59,18.63
15,7,62,10.622
16,7,63,18.026
17,5,85,0.32
18,5,65,57.984
19,4,68,0.417
20,3,70,44.113
21,4,73,31.634
22,4,83,1.802
23,3,73,0.024
27,4,70,203.019
29,4,68,3.38
30,3,62,236.11
31,5,74,0.335
32,7,62,1.368
33,3,68,0.048
36,4,67,19.502
37,4,64,0.336
40,4,62,1.653
41,8,64,1.529
42,5,66,29.803
43,4,72,1.272
44,7,62,2.866
47,4,63,0.559
48,6,78,0.283
50,10,58,29.342
51,6,64,4.252
53,3,73,0.068
54,4,64,1.297
56,4,67,0.246
58,3,76,0.014
59,5,69,76.41
60,2,92,0.001
61,6,71,0.75
62,5,58,0.688
63,5,76,4.634
64,6,67,162.099
65,4,76,7.085
67,6,76,1.881
68,3,67,0.645
69,4,72,0.705
70,3,76,6.923
72,5,66,0.792
74,5,76,0.154
75,6,66,3.423
77,2,62,0.006
79,4,72,0.493
83,9,66,4.919
91,5,85,0.835
92,4,76,0.097
93,3,73,2.092
94,7,60,5.1
95,4,75,3.274
96,6,60,0.832
98,4,64,122.555
101,5,79,2.84
102,4,64,2.467
103,5,75,0.652
104,4,71,0.319
108,3,72,1.224
109,5,75,0.642
110,4,76,0.992
111,3,60,163.218
113,3,58,95.841
115,6,81,0.864
116,3,81,0.026
117,3,79,0.015
120,5,74,0.84
125,4,63,1.06
126,4,81,0.302
128,4,73,0.433
129,4,70,0.318
130,5,70,13.126
131,7,85,8.688
132,5,66,18.168
133,6,75,1.789
135,6,55,3.634
136,5,60,3.453
138,5,62,0.855
139,4,79,2.002
140,5,83,0.639
141,5,62,2.751
142,5,58,16.386
143,4,89,0.397
144,3,61,6.983
145,6,80,25.215
147,4,64,7.808
150,5,62,57.303
151,5,64,8.46
154,4,58,3.542
155,4,72,0.966
156,7,66,16.513
157,4,65,0.17
159,5,80,2.083
160,4,79,0.121
161,5,74,2.255
162,5,72,1.155
163,4,64,0.255
164,6,59,5.442
165,3,70,4.082
166,3,74,106.988
167,4,71,6.972
168,5,75,0.39
169,6,59,1.161
172,3,58,16.08
173,3,82,4.808
178,4,65,0.059
180,5,69,1.316
181,6,67,10.972
183,8,64,1.965
184,5,77,0.982
186,2,63,13.292
187,4,77,1.143
188,6,69,14.973
189,4,74,0.971
190,6,70,0.422
193,5,81,1.514
197,2,89,0.0
198,5,61,27.517
199,4,73,0.129
0,6,72,0.563
1,4,61,0.099
4,2,79,0.0
5,7,75,4.155
7,4,67,0.351
11,6,77,132.99
13,3,83,0.137
14,6,59,26.16
15,7,62,14.891
16,7,63,25.627
17,5,85,0.444
18,5,65,76.497
19,4,68,0.587
20,3,70,60.85
21,4,73,41.482
22,4,83,2.305
23,3,73,0.032
27,4,70,289.278
29,4,68,4.733
31,5,74,0.483
32,7,62,1.998
33,3,68,0.069
36,4,67,24.815
37,4,64,0.435
40,4,62,2.125
41,8,64,1.955
42,5,66,37.485
43,4,72,1.634
44,7,62,3.634
47,4,63,0.721
48,6,78,0.385
50,10,58,37.921
51,6,64,5.468
53,3,73,0.083
54,4,64,1.672
56,4,67,0.31
58,3,76,0.016
59,5,69,100.292
60,2,92,0.001
61,6,71,0.968
62,5,58,0.894
63,5,76,6.006
64,6,67,213.941
65,4,76,9.225
67,6,76,2.419
68,3,67,0.833
69,4,72,0.938
70,3,76,8.97
72,5,66,0.913
74,5,76,0.176
75,6,66,3.889
77,2,62,0.007
79,4,72,0.566
83,9,66,5.513
91,5,85,0.855
92,4,76,0.1
93,3,73,2.14
94,7,60,5.188
95,4,75,3.343
96,6,60,0.847
98,4,64,126.488
101,5,79,2.739
102,4,64,2.484
103,5,75,0.65
104,4,71,0.315
108,3,72,1.259
109,5,75,0.676
110,4,76,1.002
111,3,60,165.772
113,3,58,37.809
115,6,81,0.515
116,3,81,0.015
117,3,79,0.009
120,5,74,0.851
125,4,63,0.808
126,4,81,0.234
128,4,73,0.342
129,4,70,0.253
130,5,70,10.432
131,7,85,6.723
132,5,66,13.975
133,6,75,1.38
135,6,55,2.746
136,5,60,2.622
138,5,62,0.705
139,4,79,1.657
140,5,83,0.553
141,5,62,2.303
142,5,58,13.898
143,4,89,0.354
144,3,61,5.861
145,6,80,22.149
147,4,64,5.508
150,5,62,40.061
151,5,64,6.348
154,4,58,2.656
155,4,72,0.725
156,7,66,12.214
157,4,65,0.127
159,5,80,1.515
160,4,79,0.089
161,5,74,1.669
162,5,72,0.823
163,4,64,0.187
164,6,59,3.918
165,3,70,2.978
166,3,74,74.877
167,4,71,5.265
168,5,75,0.294
169,6,59,0.879
172,3,58,12.821
173,3,82,3.844
178,4,65,0.05
180,5,69,1.045
181,6,67,8.656
183,8,64,1.56
184,5,77,0.778
186,2,63,10.525
187,4,77,0.904
188,6,69,11.69
189,4,74,0.751
190,6,70,0.333
193,5,81,1.192
197,2,89,0.0
198,5,61,21.707
199,4,73,0.102
