12,1,0.07,0.052,0.424,1.1401870250701904-0.3366267681121826-0.13300037384033203-0.04394221305847168-0.14432454109191895-0.6813342571258545-0.5579802989959717-0.8051209449768066-0.11184811592102051-0.05928182601928711-0.02953314781188965-0.10463595390319824-0.527839183807373-0.5783982276916504-0.5264637470245361-0.015697956085205078-0.41513824462890625-0.5024468898773193-0.0883026123046875-0.19797873497009277-0.6090564727783203-0.5516793727874756-0.14881539344787598-0.8153622150421143-0.08211421966552734-0.11903667449951172-0.2217700481414795-1.020359754562378-0.45490002632141113-0.6664779186248779-0.14602875709533691-0.11965298652648926-0.62823486328125-0.12047910690307617-0.3962998390197754-0.2846190929412842-0.6163649559020996-0.796637773513794-0.7664825916290283-0.0068264007568359375-0.7114424705505371-0.21044635772705078-0.6626224517822266-0.3652634620666504-0.11108183860778809-0.12251830101013184-0.09592270851135254-0.03596854209899902-0.5920236110687256-0.8336563110351562-0.1217813491821289-0.035294532775878906-0.4966096878051758-0.0944373607635498-0.13238286972045898-0.27993059158325195-0.26582813262939453-0.721630334854126-0.20143389701843262-0.04658079147338867-0.11514163017272949-0.1481151580810547-0.17439603805541992-0.03549051284790039-0.02903008460998535-0.3238236904144287-0.09638595581054688-0.022891759872436523-0.9634296894073486-0.18531274795532227-0.7637622356414795-0.03314518928527832-1.6383180618286133-0.49951601028442383-1.28816556930542-0.5714929103851318-0.705308198928833-1.9309229850769043-0.32627129554748535-0.15568995475769043-0.14352822303771973-0.03055429458618164-0.21126556396484375-0.21219801902770996-0.565772533416748-0.011125564575195312-0.11994481086730957-0.016716480255126953-0.06181645393371582-0.7400162220001221-1.2665553092956543-0.9982542991638184-0.8369245529174805-0.7735450267791748-0.34683895111083984-1.4259600639343262-1.7290692329406738-0.09299826622009277-0.7537245750427246-0.3783071041107178,
12,2,0.42,0.209,2.189,1.9934301376342773-0.6677021980285645-0.20365643501281738-0.08969569206237793-0.28884434700012207-1.4644370079040527-0.9854938983917236-1.3915519714355469-0.19069695472717285-0.12618160247802734-0.07138490676879883-0.19089651107788086-0.9463086128234863-1.0424466133117676-1.1653800010681152-0.0419771671295166-1.00935697555542-1.0676581859588623-0.20734477043151855-0.4792509078979492-1.4374363422393799-1.2211360931396484-0.3651864528656006-1.8460354804992676-0.19907402992248535-0.24539422988891602-0.4746394157409668-12.397334098815918-0.9479687213897705-1.2164719104766846-0.21401739120483398-0.31342411041259766-1.1164262294769287-0.2527449131011963-0.7673954963684082-0.5033190250396729-1.1784141063690186-1.4239273071289062-1.3335676193237305-0.020702123641967773-1.267287254333496-0.37559008598327637-1.1504111289978027-0.7216525077819824-0.27687907218933105-0.27281641960144043-0.19595575332641602-0.08473563194274902-1.1420156955718994-143.53890657424927-0.27896761894226074-0.10140109062194824-1.028568983078003-0.14994359016418457-0.25272679328918457-0.5785794258117676-0.4481987953186035-1.3326101303100586-0.3920419216156006-0.12175512313842773-0.19790291786193848-0.29280829429626465-0.350557804107666-0.08947491645812988-0.07214021682739258-0.592646598815918-0.16805744171142578-0.06604313850402832-1.7960712909698486-0.30684423446655273-1.357466459274292-0.05905652046203613-0.616570234298706-0.08954262733459473-1.3230597972869873-0.5958080291748047-0.8443212509155273-2.0104849338531494-0.36200904846191406-0.1985623836517334-0.20798087120056152-0.044884681701660156-0.25774049758911133-0.2152543067932129-0.6510872840881348-0.020076751708984375-0.16762089729309082-0.01894068717956543-0.09642148017883301-0.964648962020874-1.5805261135101318-1.195603370666504-1.0573396682739258-0.9114353656768799-0.4180734157562256-1.6519663333892822-1.8079829216003418-0.10822463035583496-0.8594803810119629-0.4580390453338623,
12,3,0.59,0.247,0.973,6.528706789016724-0.911618709564209-0.26429080963134766-0.1373753547668457-0.39775991439819336-1.5528643131256104-1.191612720489502-1.620835781097412-0.2561910152435303-0.14644408226013184-0.11204814910888672-0.20977568626403809-0.8849673271179199-0.9581160545349121-0.9983463287353516-0.035796403884887695-1.0159618854522705-1.0136806964874268-0.1849219799041748-0.5025758743286133-1.2830686569213867-1.0485572814941406-0.33905625343322754-1.6000430583953857-0.1881725788116455-0.2848227024078369-0.5500233173370361-2.031013250350952-1.0139575004577637-1.2850546836853027-0.2528963088989258-0.3478505611419678-1.1753504276275635-0.2279970645904541-0.942185640335083-0.6394927501678467-10.219475269317627-1.5650544166564941-1.4336330890655518-0.02751636505126953-1.3977057933807373-0.4535198211669922-1.26682710647583-0.870567798614502-0.38406896591186523-0.2873051166534424-0.28108954429626465-0.1370861530303955-1.2602832317352295-1.545903205871582-0.35650157928466797-0.15660452842712402-1.0853924751281738-0.1730344295501709-0.33365392684936523-0.6994359493255615-0.48900389671325684-1.4386990070343018-0.3095667362213135-0.16468143463134766-0.23930954933166504-0.35651397705078125-0.48642659187316895-0.13564372062683105-0.08646059036254883-0.6623339653015137-0.19027280807495117-0.10957074165344238-1.9687881469726562-0.4050922393798828-1.432631492614746-0.06843113899230957-0.6631665229797363-0.09881067276000977-1.4758033752441406-0.621654748916626-1.0343458652496338-14.62766170501709-0.42113351821899414-0.27985239028930664-0.32365870475769043-0.06975412368774414-0.36653804779052734-0.3329033851623535-0.784578800201416-0.040662288665771484-0.24191546440124512-0.020465850830078125-0.15756726264953613-1.1032047271728516-1.752051830291748-1.2052431106567383-0.889962911605835-0.9138846397399902-0.4276597499847412-1.6195967197418213-1.6748943328857422-0.13230061531066895-0.9470033645629883-0.4229862689971924,
12,4,0.59,0.247,0.957,1.9974961280822754-0.803926944732666-0.24227190017700195-0.1268928050994873-0.3821995258331299-1.4181857109069824-1.0949771404266357-1.4790375232696533-0.25785207748413086-0.1579453945159912-0.11695456504821777-0.2262272834777832-0.9564793109893799-1.0370421409606934-1.0881233215332031-0.04032254219055176-1.0491669178009033-1.0631234645843506-0.1916952133178711-11.285072803497314-1.3765389919281006-1.084970235824585-0.3427410125732422-1.6084165573120117-0.1861412525177002-0.28855299949645996-0.5584592819213867-2.062286138534546-1.0116245746612549-1.2976219654083252-0.2542743682861328-0.3478069305419922-1.1878080368041992-0.2341444492340088-0.9045467376708984-0.6179373264312744-1.4120979309082031-1.5292329788208008-1.4077789783477783-0.0276029109954834-1.394845962524414-0.4455432891845703-1.2611300945281982-0.86287522315979-0.384920597076416-0.28572559356689453-0.28557848930358887-0.15282869338989258-1.3018860816955566-1.5799894332885742-0.3613584041595459-0.16080951690673828-1.132617473602295-0.17830204963684082-0.3549017906188965-6.5006513595581055-0.565556526184082-1.5311591625213623-0.31578636169433594-0.16960382461547852-0.24707984924316406-0.3604609966278076-0.4413106441497803-0.13798975944519043-0.08629798889160156-0.666529655456543-0.19168710708618164-0.10982275009155273-1.9803049564361572-0.4071812629699707-1.4304790496826172-0.06801581382751465-0.670506477355957-0.09938740730285645-1.4784774780273438-0.6247992515563965-1.0075256824493408-2.0237700939178467-0.3963758945465088-0.26833438873291016-0.3065190315246582-0.06585812568664551-0.3147428035736084-0.3192760944366455-0.7852215766906738-0.041626930236816406-0.24192047119140625-0.020670652389526367-0.1546170711517334-1.0586605072021484-1.6994178295135498-1.189474105834961-0.8724660873413086-0.893280029296875-0.42615294456481934-1.6342244148254395-1.7248153686523438-0.13472390174865723-8.690516233444214-0.4502274990081787,
12,5,0.59,0.247,0.848,2.05277943611145-0.818579912185669-0.24440264701843262-0.12546730041503906-0.3570551872253418-1.4234752655029297-1.0906915664672852-1.4899959564208984-0.2584388256072998-0.15861201286315918-0.1176762580871582-0.2258315086364746-0.9677450656890869-1.0453927516937256-1.091517686843872-0.039655208587646484-1.0139257907867432-1.0124340057373047-0.20953726768493652-0.5179014205932617-1.2615866661071777-1.0551159381866455-0.3392648696899414-1.6051380634307861-0.18714165687561035-0.2836730480194092-0.5746018886566162-2.023284912109375-1.01112961769104-1.278998851776123-0.25455522537231445-0.34767627716064453-1.218989610671997-0.2397174835205078-0.9529249668121338-7.438517332077026-1.484788417816162-1.5200047492980957-1.415447473526001-0.0277557373046875-1.4035592079162598-0.44503307342529297-1.2556431293487549-0.8629498481750488-0.3851807117462158-0.28829288482666016-0.2825589179992676-0.13921475410461426-1.2649562358856201-1.5599207878112793-0.3553781509399414-0.15853333473205566-1.0795872211456299-0.17247796058654785-0.3343517780303955-0.7034146785736084-0.49133992195129395-1.4406306743621826-0.33450794219970703-0.16604256629943848-0.2399592399597168-0.35416436195373535-0.4415252208709717-0.13645291328430176-0.08629679679870605-0.657494068145752-0.19135737419128418-0.11127614974975586-1.9586338996887207-0.4066660404205322-1.4213175773620605-0.06834983825683594-0.668412446975708-0.0988473892211914-1.4929516315460205-0.6435451507568359-1.0663037300109863-8.953757524490356-0.41970396041870117-0.26522016525268555-0.3060739040374756-0.06566500663757324-0.3224055767059326-0.33245182037353516-0.797093391418457-0.04255414009094238-0.24527239799499512-0.019579410552978516-0.1531670093536377-1.073472261428833-1.7010927200317383-1.1800265312194824-0.8704500198364258-0.8981866836547852-0.42836761474609375-1.6266813278198242-1.6679325103759766-0.15591669082641602-0.9496362209320068-0.422163724899292,
12,6,0.59,0.247,1.036,1.981320858001709-0.8139369487762451-0.24341821670532227-0.1258699893951416-0.35629844665527344-1.4302163124084473-1.0782878398895264-1.4726183414459229-0.256847620010376-0.1585702896118164-0.11783862113952637-0.22740888595581055-0.9658980369567871-1.0885345935821533-1.1192235946655273-0.03529953956604004-8.761673212051392-1.0920219421386719-0.19893097877502441-0.527733564376831-1.2825665473937988-1.0569241046905518-0.3428921699523926-1.5983943939208984-0.18642187118530273-0.286679744720459-0.5575907230377197-2.022465944290161-1.014965295791626-1.2844913005828857-0.25417327880859375-0.353074312210083-1.1930365562438965-0.22880196571350098-0.8993332386016846-0.6144156455993652-1.4359829425811768-1.4902458190917969-1.415621042251587-0.02819991111755371-1.4133436679840088-0.44084930419921875-1.241642713546753-0.8610489368438721-0.38414669036865234-0.28728270530700684-0.28239870071411133-0.1369609832763672-1.272129774093628-1.6198437213897705-0.3752329349517822-0.16212248802185059-13.897134780883789-0.18093180656433105-0.4009993076324463-0.7384951114654541-0.49642229080200195-1.4568591117858887-0.30905842781066895-0.16519379615783691-0.2409980297088623-0.35793566703796387-0.4398324489593506-0.14218783378601074-0.0871739387512207-0.6617650985717773-0.19034123420715332-0.10898780822753906-1.9597797393798828-0.40610790252685547-1.4326322078704834-0.06828927993774414-0.6666765213012695-0.09918546676635742-1.4882409572601318-0.6201341152191162-1.0111362934112549-2.0379414558410645-0.3967716693878174-0.2666292190551758-0.30447959899902344-0.06898045539855957-0.3377804756164551-0.3193831443786621-0.7634799480438232-0.04097104072570801-0.2382500171661377-0.01973438262939453-0.15322518348693848-1.081742763519287-1.685225248336792-1.1818852424621582-0.8708236217498779-0.8931789398193359-0.4305565357208252-1.6765046119689941-13.516287088394165-0.14897918701171875-1.000608205795288-0.4368607997894287,
12,7,0.59,0.247,1.727,2.0101916790008545-0.811772346496582-0.24551105499267578-0.12622499465942383-0.35900044441223145-1.4343101978302002-1.0811796188354492-1.476973533630371-0.26120758056640625-0.15905284881591797-0.11895608901977539-0.2259988784790039-0.9619536399841309-1.0450232028961182-1.0807406902313232-0.03904080390930176-1.0146784782409668-1.018575668334961-0.1879875659942627-0.5519990921020508-1.2681849002838135-1.0593299865722656-0.3396117687225342-1.612288475036621-0.1872401237487793-0.2853245735168457-0.5527637004852295-2.0250484943389893-1.0151736736297607-1.3099291324615479-0.26209378242492676-0.363361120223999-1.229839563369751-5.997066020965576-0.9635567665100098-0.6742937564849854-1.4547491073608398-1.5153770446777344-1.4229912757873535-0.027800321578979492-1.3976109027862549-0.44122862815856934-1.2429063320159912-0.8660399913787842-0.38843655586242676-0.2862815856933594-0.2830166816711426-0.13643383979797363-1.2853243350982666-1.554595947265625-0.3592960834503174-0.15656208992004395-1.0814259052276611-0.17328953742980957-0.34023356437683105-0.705014705657959-0.4931151866912842-1.4750404357910156-0.3088974952697754-0.16690778732299805-0.24244427680969238-0.35508108139038086-0.4594156742095947-0.13646221160888672-0.08671069145202637-0.6595292091369629-0.19022083282470703-0.11014080047607422-1.9481244087219238-0.4068000316619873-1.434675693511963-0.06813669204711914-0.690744161605835-0.09968900680541992-1.542562484741211-96.36336374282837-1.071669340133667-2.0908403396606445-0.4078354835510254-0.2676219940185547-0.3049917221069336-0.06792449951171875-0.31575846672058105-0.3214406967163086-0.7593221664428711-0.041078805923461914-0.2404942512512207-0.019661426544189453-0.1566011905670166-1.0670781135559082-1.6875181198120117-1.1897437572479248-0.8789710998535156-0.9042959213256836-0.43001484870910645-1.6146972179412842-1.6672980785369873-0.13100028038024902-0.9445216655731201-0.42763352394104004,
12,8,0.59,0.247,1.085,2.0266754627227783-0.8019640445709229-0.24638795852661133-0.13062834739685059-0.3669118881225586-1.4291601181030273-1.0835473537445068-1.4773881435394287-0.2592158317565918-0.15787124633789062-0.1174321174621582-0.22471880912780762-0.9909570217132568-1.0868890285491943-6.888695240020752-0.040528297424316406-1.082157850265503-1.053271770477295-0.18587923049926758-0.505094051361084-1.272667407989502-1.100773572921753-0.34627819061279297-1.6339139938354492-0.18823957443237305-0.2886180877685547-0.5635213851928711-2.0706627368927-1.0243213176727295-1.3062236309051514-0.2559382915496826-0.35523295402526855-1.1973967552185059-0.2311394214630127-0.9062483310699463-0.6642642021179199-1.5833721160888672-1.631706714630127-1.5685136318206787-0.03089118003845215-1.5212016105651855-0.4758305549621582-1.3668181896209717-0.9469051361083984-0.4360535144805908-0.3161048889160156-0.317960262298584-0.15549230575561523-1.4379594326019287-23.363540410995483-0.40692591667175293-0.17287635803222656-1.1962275505065918-0.19430875778198242-0.3629021644592285-0.7669081687927246-0.5565347671508789-1.5805258750915527-0.33919310569763184-0.18251442909240723-0.26078033447265625-0.3892791271209717-0.47323060035705566-0.14729022979736328-0.0941779613494873-0.7191340923309326-0.2049713134765625-0.11851787567138672-2.1271209716796875-0.4420607089996338-1.556814193725586-0.07666516304016113-0.7308897972106934-0.10981273651123047-1.5358374118804932-0.62921142578125-1.05330491065979-2.06337308883667-0.40909767150878906-0.2671244144439697-0.3057842254638672-0.06772589683532715-0.3154335021972656-0.3171100616455078-0.7625875473022461-0.040540456771850586-0.23776721954345703-0.01965475082397461-0.15665745735168457-1.0705592632293701-1.8847570419311523-1.344087839126587-8.035134077072144-0.9215342998504639-0.4114573001861572-1.5292906761169434-1.6613328456878662-0.13410329818725586-0.9571146965026855-0.424929141998291,
12,9,0.59,0.247,0.842,2.0000298023223877-0.8110690116882324-0.2427968978881836-0.1312236785888672-0.38092923164367676-1.4358210563659668-1.1069393157958984-1.4794833660125732-0.2575185298919678-0.1576690673828125-0.11660242080688477-0.22473597526550293-0.960930585861206-1.0790095329284668-1.0818634033203125-0.038643836975097656-1.0120253562927246-1.0178556442260742-0.19005680084228516-0.5246551036834717-1.2702367305755615-1.058861255645752-0.3384380340576172-1.6313745975494385-0.1898338794708252-0.2903308868408203-0.5873885154724121-2.1066319942474365-7.9918670654296875-1.3514842987060547-0.25340938568115234-0.35909152030944824-1.1937594413757324-0.22825002670288086-0.9217743873596191-0.6195282936096191-1.4365859031677246-1.551896333694458-1.443631649017334-0.029564380645751953-1.4107162952423096-0.45450663566589355-1.2297816276550293-0.8155312538146973-0.3644449710845947-0.2716410160064697-0.2680048942565918-0.1270589828491211-1.174189567565918-1.5400354862213135-0.3575773239135742-0.15796518325805664-1.0866599082946777-0.17691802978515625-0.3403513431549072-0.7140874862670898-0.49108266830444336-1.4389290809631348-0.3111450672149658-0.16533279418945312-0.2402632236480713-0.3540380001068115-0.44056177139282227-0.13747715950012207-0.08685803413391113-0.6604039669036865-0.1955547332763672-0.1105031967163086-2.0238559246063232-0.42918896675109863-7.96613883972168-0.0715174674987793-0.7161509990692139-0.10425949096679688-1.5116755962371826-0.6323492527008057-1.045022964477539-1.9700496196746826-0.3761622905731201-0.2522311210632324-0.2823622226715088-0.06128644943237305-0.2905299663543701-0.29383397102355957-0.6978099346160889-0.03724789619445801-0.22191071510314941-0.018384218215942383-0.1430349349975586-0.9928932189941406-1.6451911926269531-1.1933715343475342-0.8769798278808594-0.899949312210083-0.4536445140838623-1.6142964363098145-1.6653163433074951-0.13074350357055664-0.9344539642333984-0.43956542015075684,
12,10,0.59,0.247,1.404,1.976684808731079-0.8085410594940186-0.24117469787597656-0.1275041103363037-0.3576929569244385-1.4247848987579346-1.1237764358520508-1.539214849472046-0.26989269256591797-0.16117095947265625-0.1218419075012207-11.780537843704224-1.0169587135314941-1.0892219543457031-1.0984892845153809-0.040084123611450195-1.0285720825195312-1.051276683807373-0.19269657135009766-0.5096609592437744-1.2797565460205078-1.0601375102996826-0.34264063835144043-1.6042585372924805-0.18903136253356934-0.2866790294647217-0.5548927783966064-2.0520920753479004-1.0109562873840332-1.2081506252288818-0.23845863342285156-0.3192176818847656-1.0969326496124268-0.23380088806152344-0.9055969715118408-0.6235506534576416-1.4258346557617188-1.4880428314208984-1.408970832824707-0.028783082962036133-1.4048588275909424-0.4396376609802246-1.2817895412445068-0.8995070457458496-0.40367865562438965-0.29561352729797363-6.8086159229278564-0.14466500282287598-1.3452577590942383-1.5955560207366943-0.3677079677581787-0.15829920768737793-1.1011314392089844-0.18525195121765137-0.342818021774292-0.7094590663909912-0.4935574531555176-1.4383633136749268-0.291851282119751-0.155411958694458-0.22159266471862793-0.3287994861602783-0.40560412406921387-0.12662506103515625-0.08002758026123047-0.610142707824707-0.17594599723815918-0.10315966606140137-1.8196897506713867-0.3795020580291748-1.368119716644287-0.06769251823425293-0.6515593528747559-0.09895205497741699-1.489377737045288-0.6332268714904785-1.0410959720611572-2.042309284210205-0.41219067573547363-0.2729365825653076-0.30768394470214844-0.06638979911804199-0.3209197521209717-0.3163261413574219-0.7587521076202393-0.04194927215576172-0.24079465866088867-0.01951432228088379-0.15184545516967773-1.0753304958343506-1.68989896774292-1.2216684818267822-0.907198429107666-52.408735036849976-0.46703243255615234-1.7006244659423828-1.6692149639129639-0.13694286346435547-0.9752206802368164-0.4338347911834717,
