1,3,1.39,0.267,0.227,0.5928096771240234-0.2847771644592285-0.21834015846252441-0.01393747329711914-0.06154894828796387-0.30741095542907715-0.26461172103881836-0.3030667304992676-0.23654603958129883-0.26841139793395996-0.006738185882568359-0.5122616291046143-0.38934755325317383-0.11903953552246094-0.07155609130859375-0.07782769203186035-0.3434121608734131-0.1207742691040039-0.20175671577453613-0.6744024753570557-0.0740358829498291-0.7613472938537598-0.05114245414733887-0.8399770259857178-0.04111194610595703-0.04315924644470215-0.002770662307739258-0.019332408905029297-0.11255526542663574-0.005104541778564453-0.001924753189086914-0.3605778217315674-0.35140275955200195-0.1611950397491455-0.016943931579589844-0.6368978023529053-0.41063880920410156-0.001028299331665039-0.7065610885620117-0.0901949405670166-0.04238700866699219-0.10031938552856445-0.3228316307067871-0.08849525451660156-0.004614830017089844-0.10164833068847656-0.013581037521362305-0.0064296722412109375-0.5277867317199707-0.27465128898620605-0.3300044536590576-0.1079092025756836-0.27128171920776367-0.2192385196685791-0.03785848617553711-0.05683732032775879-0.1490955352783203-0.036943912506103516-0.5145907402038574-0.036356449127197266-0.29731011390686035-0.0035696029663085938-0.4231255054473877-0.09130454063415527-0.6181397438049316-0.34671854972839355-0.005706787109375-0.22549843788146973-0.10482215881347656-0.05645155906677246-0.01855635643005371-0.01873159408569336-0.0003743171691894531-0.4240896701812744-0.5365946292877197-0.5063376426696777-0.253328800201416-0.5150680541992188-0.410062313079834-0.4393126964569092-0.41878485679626465-0.0581972599029541-0.028197288513183594-0.038944244384765625-0.6405525207519531-0.019648313522338867-0.16073083877563477-0.41304850578308105-0.039515018463134766-0.007272005081176758-0.12240195274353027-0.05109882354736328-0.27586984634399414-0.050977230072021484-0.27478909492492676-0.6608924865722656-0.630326509475708-0.07184863090515137-0.18772315979003906-0.21012401580810547,
2,3,2.8,0.441,0.321,0.7377431392669678-0.4473598003387451-0.36212992668151855-0.02250814437866211-0.11500358581542969-0.45051074028015137-0.4152357578277588-0.46808838844299316-0.3088219165802002-0.4171121120452881-0.013405799865722656-0.6729516983032227-0.5103154182434082-0.1869208812713623-0.14373016357421875-0.1304154396057129-0.4977898597717285-0.19606328010559082-0.32567334175109863-0.799607515335083-0.14206647872924805-0.9594516754150391-0.09541654586791992-1.062246322631836-0.0706017017364502-0.061415910720825195-0.006925821304321289-0.041095733642578125-0.18381738662719727-0.009925127029418945-0.006237983703613281-0.5191731452941895-0.544304609298706-0.24633264541625977-0.023710012435913086-0.8279681205749512-0.5581529140472412-0.002608060836791992-0.9011352062225342-0.16367387771606445-0.04760861396789551-0.17804408073425293-0.5144240856170654-0.16797661781311035-0.011091947555541992-0.1483595371246338-0.03147435188293457-0.016959667205810547-0.6636803150177002-0.4300553798675537-0.520561933517456-0.1706395149230957-0.3959646224975586-0.320892333984375-0.06066250801086426-0.08218550682067871-0.19564247131347656-0.06876564025878906-0.6793460845947266-0.056730031967163086-0.4756796360015869-0.007025003433227539-0.6361844539642334-0.15785670280456543-0.8848226070404053-0.43738627433776855-0.011740446090698242-0.36860156059265137-0.19753003120422363-0.10579776763916016-0.029612064361572266-0.0366361141204834-0.000762939453125-0.5747990608215332-0.7091152667999268-0.6703023910522461-0.3600602149963379-0.7596392631530762-0.6056337356567383-0.6704401969909668-0.5333154201507568-0.10546469688415527-0.05912137031555176-0.0721445083618164-0.787510871887207-0.03906369209289551-0.2391514778137207-0.602496862411499-0.08967971801757812-0.015403509140014648-0.22739076614379883-0.09015655517578125-0.38846302032470703-0.07233285903930664-0.36935901641845703-0.8361766338348389-0.7650649547576904-0.09178733825683594-0.29018259048461914-0.30356860160827637,
3,1,1.44,0.296,0.244,0.6171956062316895-0.3044283390045166-0.23937273025512695-0.015687942504882812-0.07135295867919922-0.29495716094970703-0.2871689796447754-0.3329486846923828-0.24439764022827148-0.29431748390197754-0.009500741958618164-0.5342662334442139-0.41631603240966797-0.13303709030151367-0.08401870727539062-0.09589552879333496-0.3745243549346924-0.14589786529541016-0.22267746925354004-0.7127907276153564-0.08455061912536621-0.7890059947967529-0.06081271171569824-0.8803932666778564-0.053098201751708984-0.039519548416137695-0.00429534912109375-0.02245306968688965-0.1278533935546875-0.005927085876464844-0.0024526119232177734-0.38898658752441406-0.39061713218688965-0.1725623607635498-0.019054174423217773-0.6651253700256348-0.4328329563140869-0.001607656478881836-0.7470932006835938-0.10481119155883789-0.051915645599365234-0.10644769668579102-0.3670322895050049-0.10434961318969727-0.007736682891845703-0.1081688404083252-0.01896381378173828-0.0114593505859375-0.5553371906280518-0.3078806400299072-0.3656961917877197-0.11867165565490723-0.2924153804779053-0.23657703399658203-0.042513370513916016-0.06510639190673828-0.16295623779296875-0.03615856170654297-0.5539839267730713-0.04781627655029297-0.3308868408203125-0.005240678787231445-0.4672813415527344-0.10393142700195312-0.6521883010864258-0.3766942024230957-0.006510496139526367-0.2490825653076172-0.12235093116760254-0.07060861587524414-0.021779775619506836-0.019040346145629883-0.00041484832763671875-0.4539058208465576-0.5750513076782227-0.5286533832550049-0.2773706912994385-0.548792839050293-0.45287299156188965-0.4689607620239258-0.43591737747192383-0.06773757934570312-0.033028364181518555-0.0375673770904541-0.6876344680786133-0.023659944534301758-0.18115782737731934-0.45284342765808105-0.054161787033081055-0.008272171020507812-0.13804292678833008-0.053113698959350586-0.29618167877197266-0.05603837966918945-0.2872812747955322-0.703371524810791-0.661454439163208-0.0577082633972168-0.22154855728149414-0.2268819808959961,
3,2,2.95,0.455,0.5,1.076432704925537-0.6215522289276123-0.6082141399383545-0.04088902473449707-0.20804786682128906-0.6798441410064697-0.7066292762756348-0.6384150981903076-0.4464089870452881-0.5513763427734375-0.024868488311767578-1.018134593963623-0.7678906917572021-0.32633042335510254-0.26804423332214355-0.12279152870178223-0.8424513339996338-0.20959687232971191-0.5829811096191406-1.1314566135406494-0.2489018440246582-1.3380658626556396-0.1886916160583496-1.5745978355407715-0.14153695106506348-0.15120434761047363-0.011877298355102539-0.08020782470703125-0.3002791404724121-0.019536495208740234-0.011803865432739258-0.8175489902496338-0.8922579288482666-0.3886227607727051-0.051348209381103516-1.186323881149292-0.814624547958374-0.00505828857421875-1.3824794292449951-0.21457743644714355-0.06371784210205078-0.23711729049682617-0.7494349479675293-0.2991476058959961-0.023889541625976562-0.3029186725616455-0.060225725173950195-0.03551435470581055-1.008436918258667-0.761544942855835-0.7594068050384521-0.32512545585632324-0.6688554286956787-0.5908732414245605-0.12015914916992188-0.1053476333618164-0.33893632888793945-0.1360630989074707-1.0549390316009521-0.11962318420410156-0.8427019119262695-0.015260696411132812-1.0606763362884521-0.22990870475769043-1.382601261138916-0.6324138641357422-0.02223348617553711-0.6167929172515869-0.24406123161315918-0.22379255294799805-0.04249238967895508-0.06908655166625977-0.0014653205871582031-0.8803737163543701-1.073603630065918-0.9973316192626953-0.6234755516052246-1.2318003177642822-1.0253996849060059-1.1036627292633057-0.79083251953125-0.1559004783630371-0.08782696723937988-0.13869929313659668-1.1688082218170166-0.05954289436340332-0.4221940040588379-0.9680531024932861-0.18121004104614258-0.03205990791320801-0.34279656410217285-0.17176413536071777-0.5776646137237549-0.10332679748535156-0.5993642807006836-1.2170183658599854-1.0460844039916992-0.1598365306854248-0.5192971229553223-0.4997103214263916,
3,3,3.14,0.474,0.817,1.555701494216919-0.9738223552703857-1.03291654586792-0.08603382110595703-0.40242838859558105-1.3198676109313965-1.1293649673461914-1.037703037261963-0.7118535041809082-1.049621820449829-0.04747939109802246-1.6561479568481445-1.1759626865386963-0.5736744403839111-0.3746984004974365-0.28916215896606445-1.3680410385131836-0.3617560863494873-1.0048854351043701-1.6045489311218262-0.4811878204345703-2.039433479309082-0.3719964027404785-2.303913116455078-0.24741029739379883-0.12861347198486328-0.031975507736206055-0.15387797355651855-0.4922633171081543-0.04254794120788574-0.03032398223876953-1.4112122058868408-1.613373041152954-0.6606578826904297-0.09815812110900879-1.8641340732574463-1.3665943145751953-0.012966156005859375-2.0095624923706055-0.5012409687042236-0.0844728946685791-0.6214718818664551-0.806814432144165-0.5967967510223389-0.05051755905151367-0.4998142719268799-0.13591504096984863-0.0677955150604248-1.43752121925354-1.2717890739440918-1.3189685344696045-0.5491595268249512-1.0866522789001465-0.9724688529968262-0.20841407775878906-0.24392390251159668-0.5659146308898926-0.2824857234954834-1.642099142074585-0.20751619338989258-1.2213380336761475-0.022024869918823242-1.8004212379455566-0.4155564308166504-2.2826008796691895-0.9421472549438477-0.04898500442504883-1.1326847076416016-0.4848320484161377-0.35454368591308594-0.1041560173034668-0.1638798713684082-0.002353191375732422-1.3663065433502197-1.7187645435333252-1.6570982933044434-0.9966278076171875-2.109053134918213-1.710526466369629-1.9847614765167236-1.179117202758789-0.3185091018676758-0.18081879615783691-0.27362823486328125-1.7311804294586182-0.12056779861450195-0.7148957252502441-1.5154094696044922-0.3745441436767578-0.052022695541381836-0.6543631553649902-0.29621458053588867-0.7573132514953613-0.19694066047668457-1.2336783409118652-1.796638011932373-1.5337347984313965-0.27042245864868164-0.834115743637085-0.8542613983154297,
4,3,3.56,0.5,3.898,6.905205726623535-5.087949752807617-5.617201328277588-0.506134033203125-2.3368000984191895-7.060761213302612-5.696831226348877-4.353964567184448-3.498185157775879-4.76669716835022-0.233154296875-8.086628437042236-5.629711151123047-2.302158832550049-1.9019889831542969-1.906130313873291-7.228228807449341-1.5678811073303223-2.6698172092437744-6.9500696659088135-2.7056753635406494-8.828584909439087-1.7794060707092285-10.488487958908081-1.33003568649292-0.6144058704376221-0.1958463191986084-0.5286386013031006-2.6223344802856445-0.265669584274292-0.2004532814025879-5.209190368652344-8.71648120880127-3.442866325378418-0.4974534511566162-8.450387001037598-6.821985721588135-0.08475613594055176-9.340067148208618-2.2656593322753906-0.1566159725189209-2.113344669342041-6.587599754333496-3.4254348278045654-0.3202955722808838-2.2180521488189697-0.8241722583770752-0.38036251068115234-6.513472080230713-6.891034841537476-8.004394054412842-2.95479154586792-5.72487473487854-4.923781394958496-0.7744235992431641-1.0022635459899902-1.90118408203125-1.7207295894622803-8.089639902114868-1.2374403476715088-3.788867235183716-0.09429359436035156-9.576378583908081-2.258761405944824-12.41487979888916-4.383145570755005-0.31243157386779785-3.342449903488159-2.7994134426116943-1.7285215854644775-0.7176082134246826-0.9278066158294678-0.011608123779296875-6.729946613311768-8.496511459350586-8.365184783935547-3.9283008575439453-11.401794672012329-9.05936312675476-10.718031883239746-5.500568389892578-1.2794625759124756-1.0720715522766113-1.0879542827606201-6.362941265106201-0.4554414749145508-2.53581166267395-5.879013776779175-2.2978100776672363-0.2569127082824707-2.7639691829681396-1.434338092803955-2.8601019382476807-1.142871618270874-4.2478718757629395-8.15130066871643-6.754717826843262-1.123624563217163-4.573696613311768-4.460968017578125,
