0,1,1,success,5.29,1.58,4.54,4.64,16.04
1,1,1,success,5.53,2.14,5.68,7.04,20.39
2,1,1,success,6.82,1.73,8.04,6.15,22.74
3,1,1,success,6.74,1.66,50.19,4.77,63.36
4,1,1,success,6.01,2.13,84.55,6.97,99.66
5,1,1,success,7.02,1.62,37.68,3.97,50.28
6,2,2,success,6.61,1.57,5.69,5.66,19.52
7,1,1,success,6.48,1.45,10.31,9.31,27.56
8,2,2,success,6.63,1.63,7.79,5.83,21.88
9,1,1,success,6.76,1.55,6.62,5.62,20.54
10,2,1,success,6.77,1.51,29.75,6.03,44.07
11,2,1,success,6.59,1.66,6.28,3.84,18.37
12,1,1,success,6.27,1.54,74.78,6.26,88.85
13,1,1,success,6.69,1.55,5.08,5.72,19.05
14,3,1,success,6.32,2.14,49.42,5.23,63.1
15,1,1,success,5.86,2.18,43.47,6.15,57.65
16,1,1,success,6.65,1.57,6.32,7.82,22.37
17,1,1,success,6.73,1.58,11.69,6.75,26.74
18,12,1,success,6.2,1.53,2.17,4.24,14.14
19,1,1,success,6.14,2.09,6.0,5.88,20.11
20,1,1,success,6.47,1.62,261.84,5.78,275.7
21,1,1,success,6.92,1.42,8.5,8.27,25.11
22,1,1,success,7.26,1.56,5.66,5.46,19.94
23,2,1,success,6.42,1.58,12.92,5.84,26.76
24,1,1,success,6.06,1.58,22.29,7.19,37.11
