0,5,58,3.829
1,7,60,24.699
2,5,65,0.66
3,3,64,1.528
4,4,78,14.759
5,3,76,0.008
6,4,64,0.317
7,3,71,0.527
9,5,58,0.39
10,5,50,1.699
11,5,68,0.02
12,4,78,0.249
13,3,75,0.018
14,4,76,0.051
15,7,55,1.13
17,5,63,0.205
18,6,55,4.101
19,6,67,0.039
20,3,81,0.127
21,4,62,20.155
22,6,67,0.471
23,6,57,1.062
24,6,43,2.929
25,5,57,2.787
26,6,57,0.56
27,3,67,1.075
28,6,49,1.541
31,4,79,9.878
34,5,66,1.638
39,5,68,1.054
42,4,53,27.326
45,7,49,9.424
47,4,81,0.049
48,6,51,17.565
49,3,73,0.448
51,5,48,12.315
53,3,85,0.213
55,5,72,0.336
56,6,57,2.012
57,4,82,0.281
58,4,72,0.105
61,5,61,0.081
62,6,61,3.496
66,6,48,2.441
67,4,62,1.255
69,5,65,0.303
71,4,58,0.229
77,6,59,57.036
78,3,71,0.067
79,6,48,4.835
82,3,60,0.246
85,7,66,0.415
86,5,54,5.498
87,6,56,0.969
89,5,63,2.358
90,4,69,1.129
91,4,67,0.156
93,5,55,0.173
94,9,41,6.806
95,6,41,33.546
96,6,62,0.94
97,4,64,0.502
98,6,76,0.063
99,4,61,2.672
103,7,63,0.42
104,5,63,2.308
105,4,62,0.091
107,4,73,0.058
111,4,80,0.009
112,5,59,10.283
113,6,48,1.988
115,4,64,8.707
117,3,70,0.045
120,7,61,0.464
121,4,51,4.905
122,7,49,59.265
123,6,47,2.44
125,5,63,7.542
126,5,59,1.351
127,6,62,3.573
128,5,58,0.022
129,3,80,0.094
130,4,68,0.188
131,3,63,10.886
132,6,80,33.638
133,6,65,0.241
136,4,77,4.133
137,5,55,0.279
138,7,65,1.002
139,5,79,0.044
141,4,72,1.377
143,6,55,2.534
144,6,47,18.12
145,2,86,0.237
147,5,50,10.263
148,4,75,0.005
150,6,72,0.841
152,5,80,0.045
153,5,74,59.933
154,4,70,0.016
156,5,66,0.028
157,2,83,0.003
158,4,66,1.351
159,5,64,7.454
160,4,73,1.511
163,4,65,1.367
164,5,54,2.093
165,5,66,1.078
168,6,60,1.706
169,4,75,0.113
172,6,51,2.295
174,3,91,1.229
175,5,63,3.595
177,5,62,8.661
178,6,59,0.181
179,4,70,1.07
181,5,59,2.957
182,4,72,0.381
183,6,57,0.406
184,4,56,2.527
186,6,56,6.396
188,5,57,0.842
189,5,61,1.123
190,6,70,0.159
192,7,66,21.231
198,5,65,41.606
199,7,54,0.873
