198482,BG,43,25
198920,UA,49,32
400856,US,38,-97
208020,PL,52,20
49592,GB,54,-2
198469,DE,51,9
329250,CI,8,-5
198862,GB,54,-2
198513,NL,52.5,5.75
198839,US,38,-97
329252,LY,25,17
198998,US,38,-97
329243,ZA,-29,24
198738,SC,-4.58,55.67
198749,NL,52.5,5.75
211830,RU,60,100
211664,DE,51,9
59888,GB,54,-2
198890,AL,41,20
201967,AL,41,20
30399,US,38,-97
61427,GB,54,-2
203701,EE,59,26
46427,US,38,-97
329251,TZ, United Republic of",-6198691,RS,44,21
329253,UG,1,32
400852,US,38,-97
198687,NL,52.5,5.75
48991,RU,60,100
201369,UA,49,32
11721,US,38,-97
211381,LV,57,25
198953,RU,60,100
198834,US,38,-97
198659,TR,39,35
59867,RU,60,100
18470,US,38,-97
49217,US,38,-97
46308,US,38,-97
198711,FR,46,2
198786,ID,-5,120
49775,GB,54,-2
198578,US,38,-97
198883,EE,59,26
58064,GB,54,-2
198895,GB,54,-2
16589,US,38,-97
198810,PL,52,20
329248,ZA,-29,24
198825,FR,46,2
202656,UA,49,32
329255,KE,1,38
48779,TR,39,35
198802,TR,39,35
30344,US,38,-97
198745,DE,51,9
198769,RU,60,100
17024,US,38,-97
202832,RU,60,100
198427,HR,45.17,15.5
198926,IR, Islamic Republic of",32208949,GB,54,-2
207924,GB,54,-2
400860,US,38,-97
395898,US,38,-97
400861,US,38,-97
212448,TR,39,35
200174,GB,54,-2
207400,AM,40,45
210020,TR,39,35
329247,ZA,-29,24
14956,US,38,-97
58236,RU,60,100
198483,KZ,48,68
198681,RU,60,100
198448,FR,46,2
199487,BR,-10,-55
31916,US,38,-97
52025,GB,54,-2
60442,TR,39,35
208381,CH,47,8
63139,US,38,-97
198951,CH,47,8
210281,GB,54,-2
329254,KE,1,38
202798,IR, Islamic Republic of",32198958,UA,49,32
208312,RU,60,100
26692,CA,60,-95
198636,GB,54,-2
36141,US,38,-97
329244,NG,10,8
198587,HR,45.17,15.5
19733,US,38,-97
19369,CA,60,-95
329246,KE,1,38
198552,AZ,40.5,47.5
199402,TR,39,35
206424,RU,60,100
198803,KZ,48,68
205463,TR,39,35
201452,IR, Islamic Republic of",3233436,US,38,-97
60812,UA,49,32
199598,US,38,-97
48899,RU,60,100
40381,US,38,-97
198584,DE,51,9
202431,PL,52,20
198542,RU,60,100
27549,US,38,-97
62447,UZ,41,64
208217,BY,53,28
198607,FR,46,2
198627,CZ,49.75,15.5
54005,US,38,-97
198629,KG,41,75
62865,CA,60,-95
198652,TR,39,35
198990,GB,54,-2
46410,US,38,-97
198789,GB,54,-2
198740,GB,54,-2
1031,US,38,-97
201053,PL,52,20
62081,PL,52,20
59900,BG,43,25
43531,FR,46,2
36280,US,38,-97
40850,US,38,-97
208293,IQ,33,44
48237,SA,25,45
327708,RW,-2,30
41689,IR, Islamic Republic of",3211383,US,38,-97
17113,US,38,-97
328832,ZA,-29,24
31216,FR,46,2
47734,RO,46,25
835,CA,60,-95
62513,CA,60,-95
58115,CH,47,8
567,US,38,-97
47400,FR,46,2
4571,ZA,-29,24
212261,PL,52,20
57277,RU,60,100
20459,NA,-22,17
11956,US,38,-97
10437,US,38,-97
207811,IQ,33,44
15029,US,38,-97
41805,IQ,33,44
11274,US,38,-97
30340,US,38,-97
2681,CA,60,-95
393423,US,38,-97
5526,PL,52,20
203620,PL,52,20
54104,US,38,-97
396300,US,38,-97
201376,FR,46,2
396450,US,38,-97
4600,US,38,-97
203072,CZ,49.75,15.5
36412,US,38,-97
22850,US,38,-97
395880,US,38,-97
35196,SC,-4.58,55.67
22637,US,38,-97
42516,RU,60,100
49304,HK,22.25,114.17
208374,LU,49.75,6.17
2874,US,38,-97
22427,US,38,-97
46750,US,38,-97
1785,US,38,-97
39288,PL,52,20
61127,LV,57,25
13826,CA,60,-95
210233,BE,50.83,4
6853,US,38,-97
13368,US,38,-97
286,NL,52.5,5.75
209612,UA,49,32
6458,GT,15.5,-90.25
203086,PL,52,20
34912,IE,53,-8
12857,DE,51,9
212421,RU,60,100
212203,IQ,33,44
37727,GH,8,-2
328303,GH,8,-2
35471,SI,46,15
25002,IT,42.83,12.83
44266,RU,60,100
40786,JM,18.25,-77.5
50193,GB,54,-2
47809,UA,49,32
204765,US,38,-97
399395,US,38,-97
7876,US,38,-97
196729,PL,52,20
397842,US,38,-97
8121,US,38,-97
57259,IL,31.5,34.75
16065,NO,62,10
41233,FR,46,2
26406,US,38,-97
47756,ES,40,-4
16609,US,38,-97
207351,RU,60,100
15270,US,38,-97
206676,NL,52.5,5.75
4323,US,38,-97
202006,PL,52,20
205266,UA,49,32
394369,CA,60,-95
59747,CZ,49.75,15.5
211056,IR, Islamic Republic of",32399772,CA,60,-95
39651,SE,62,15
6778,PL,52,20
47392,NL,52.5,5.75
27626,US,38,-97
19835,CA,60,-95
57488,PL,52,20
724,US,38,-97
29386,SY,35,38
397523,US,38,-97
47943,PT,39.5,-8
46368,US,38,-97
394935,US,38,-97
29751,US,38,-97
4296,US,38,-97
19372,US,38,-97
208977,RU,60,100
55257,US,38,-97
49349,PT,39.5,-8
41854,RU,60,100
27153,US,38,-97
48331,MD, Republic of",47394680,US,38,-97
7949,US,38,-97
25926,US,38,-97
11841,US,38,-97
2634,US,38,-97
5219,US,38,-97
5730,US,38,-97
5715,US,38,-97
47595,RU,60,100
16807,US,38,-97
26029,US,38,-97
32028,US,38,-97
31416,SA,25,45
397496,US,38,-97
205020,DE,51,9
46738,US,38,-97
2767,CA,60,-95
11127,US,38,-97
3722,US,38,-97
197592,PL,52,20
21229,HU,47,20
48789,PL,52,20
398103,US,38,-97
46393,US,38,-97
59947,RO,46,25
40380,US,38,-97
329026,KE,1,38
48376,NO,62,10
205402,GB,54,-2
15668,IT,42.83,12.83
4446,US,38,-97
327924,NG,10,8
57057,AT,47.33,13.33
1387,US,38,-97
4267,US,38,-97
204484,PL,52,20
399946,US,38,-97
400714,US,38,-97
202821,AL,41,20
6298,US,38,-97
201996,BG,43,25
393672,US,38,-97
8563,RU,60,100
199677,FR,46,2
57008,KZ,48,68
13730,US,38,-97
60391,LU,49.75,6.17
40332,CA,60,-95
205698,FR,46,2
205082,PL,52,20
39499,PL,52,20
14824,US,38,-97
48077,US,38,-97
206017,MD, Republic of",471408,US,38,-97
18839,US,38,-97
212633,GB,54,-2
59581,GB,54,-2
51910,VG, British",18.547009,US,38,-97
397064,US,38,-97
213106,DE,51,9
35005,RU,60,100
197530,PL,52,20
57153,RU,60,100
327713,KE,1,38
51109,LV,57,25
19127,US,38,-97
207436,DE,51,9
60259,IS,65,-18
209396,MD, Republic of",476793,FI,64,26
54889,CA,60,-95
16584,US,38,-97
41391,DE,51,9
47149,RU,60,100
395727,US,38,-97
46197,US,38,-97
208801,RU,60,100
46301,US,38,-97
62812,US,38,-97
10580,US,38,-97
397294,US,38,-97
40887,US,38,-97
393374,US,38,-97
210537,ID,-5,120
205977,TH,15,100
8854,UA,49,32
30607,US,38,-97
54598,US,38,-97
200365,GB,54,-2
202511,MD, Republic of",4760116,FI,64,26
1007,MF,18.073099,-63.082199
198799,JO,31,36
212679,IR, Islamic Republic of",32209898,CH,47,8
35788,GB,54,-2
47924,DE,51,9
395976,US,38,-97
48732,FR,46,2
32293,US,38,-97
396019,US,38,-97
212463,UA,49,32
395980,US,38,-97
396131,US,38,-97
395974,US,38,-97
399370,US,38,-97
34748,HR,45.17,15.5
60004,GB,54,-2
20186,US,38,-97
208375,GB,54,-2
201414,RU,60,100
56514,RO,46,25
11153,US,38,-97
12968,PL,52,20
43443,RO,46,25
21846,US,38,-97
328022,TZ, United Republic of",-632732,US,38,-97
31253,KZ,48,68
33330,US,38,-97
398236,US,38,-97
50470,NL,52.5,5.75
21892,US,38,-97
50618,FR,46,2
400097,US,38,-97
16440,US,38,-97
211398,BE,50.83,4
3285,RU,60,100
207574,GB,54,-2
33082,US,38,-97
394070,US,38,-97
30122,US,38,-97
210765,US,38,-97
33073,US,38,-97
27320,US,38,-97
30130,US,38,-97
211834,US,38,-97
53354,US,38,-97
17347,US,38,-97
33081,US,38,-97
329103,NE,16,8
1000,US,38,-97
16153,ES,40,-4
4211,US,38,-97
62384,UA,49,32
