0,2,2,success,4.5,1.62,2.32,5.89,14.33,14516;6453;4651;23969;140618-205|14516;13335;49544;4621;140618-299#14516;6453;4651;23969;140618-205#14516;6453;4651;23969;140618-205,1,0.0,1,87,3,5,205
1,2,2,success,5.25,1.94,2.6,6.08,15.87,14516;13335;49544;4621;140618-299|14516;6453;4651;23969;140618-205#14516;6453;4651;23969;140618-205#14516;6453;4651;23969;140618-205,1,0.0,1,49,3,5,205
2,2,2,success,5.52,2.04,1.58,6.29,15.44,26405;13354;49544;49079;49065-106|26405;3356;8220;49065-108#26405;3356;8220;49065-108#26405;13354;49544;49079;49065-106,1,0.0,2,164,6,5,106
3,2,2,success,5.98,1.32,1.75,6.89,15.94,26405;3356;8220;49065-108|26405;13354;49544;49079;49065-106#26405;3356;8220;49065-108#26405;13354;49544;49079;49065-106,1,0.0,2,162,5,5,106
4,1,1,success,6.04,1.42,1.66,8.08,17.2,48748;48648;49544;3356;3549;266839-165#48748;48648;49544;3356;3549;266839-165#48748;48648;49544;3356;3549;266839-165,0,0.0,1,104,4,6,165
5,1,1,success,5.27,1.32,1.69,6.6,14.88,48748;48648;49544;3356;3549;266839-165#48748;48648;49544;3356;3549;266839-165#48748;48648;49544;3356;3549;266839-165,0,0.0,1,18,4,6,165
6,2,2,success,5.96,1.37,2.77,4.83,14.93,395994;209;1239;204995-109|395994;33660;3356;204995-112#395994;33660;3356;204995-112#395994;209;1239;204995-109,3,0.0,2,73,4,4,112
7,2,2,success,5.94,1.44,3.25,5.07,15.7,395994;33660;3356;204995-112|395994;209;1239;204995-109#395994;33660;3356;204995-112#395994;209;1239;204995-109,3,0.0,2,285,5,4,112
8,1,1,success,5.75,1.33,5.75,7.37,20.19,265340;262740;42473;4181;53515-187#265340;262740;42473;4181;53515-187#265340;262740;42473;4181;53515-187,2,0.0,1,269,4,5,187
9,1,1,success,5.55,1.31,5.93,6.78,19.57,265340;262740;42473;4181;53515-187#265340;262740;42473;4181;53515-187#265340;262740;42473;4181;53515-187,2,0.0,1,270,5,5,187
10,1,1,success,5.7,1.33,7.2,7.22,21.45,24984;8764;49544;10010;23639-135#24984;8764;49544;10010;23639-135#24984;8764;49544;10010;23639-135,3,0.0,1,120,4,5,135
11,1,1,success,6.02,1.3,5.43,6.22,18.97,24984;8764;49544;10010;23639-135#24984;8764;49544;10010;23639-135#24984;8764;49544;10010;23639-135,3,0.0,1,205,3,5,135
12,1,1,success,5.8,1.27,7.32,7.8,22.19,266605;28283;33891;6855;207696-146#266605;28283;33891;6855;207696-146#266605;28283;33891;6855;207696-146,4,0.0,1,178,6,5,146
13,1,1,success,5.84,1.32,7.47,7.75,22.38,266605;28283;33891;6855;207696-146#266605;28283;33891;6855;207696-146#266605;28283;33891;6855;207696-146,4,0.0,1,27,3,5,146
