0,1,1,success,0.09,0.02,0.05,0.11,0.27
1,1,1,success,0.07,0.02,0.13,0.07,0.28
2,5,2,success,0.1,0.02,0.03,0.1,0.25
3,1,1,success,0.07,0.02,0.32,0.11,0.51
4,1,1,success,0.07,0.02,0.03,0.12,0.24
5,1,1,success,0.07,0.02,0.01,0.1,0.2
6,11,2,success,0.07,0.02,0.02,0.11,0.22
7,1,1,success,0.11,0.02,0.02,0.03,0.18
8,8,1,success,0.1,0.02,0.03,0.06,0.22
9,1,1,success,0.1,0.02,0.02,0.03,0.16
10,1,1,success,0.1,0.02,0.05,0.12,0.29
11,1,1,success,0.07,0.02,0.01,0.11,0.21
12,1,1,success,0.07,0.02,0.01,0.06,0.16
13,1,1,success,0.07,0.02,0.09,0.09,0.26
14,1,1,success,0.11,0.02,0.05,0.11,0.29
15,1,1,success,0.07,0.02,0.03,0.11,0.23
16,1,1,success,0.11,0.02,0.02,0.03,0.18
17,1,1,success,0.1,0.02,0.02,0.03,0.17
18,3,3,success,0.07,0.05,0.01,0.03,0.16
19,1,1,success,0.07,0.02,0.18,0.07,0.33
20,1,1,success,0.1,0.02,0.01,0.03,0.15
21,1,1,success,0.1,0.02,0.31,0.11,0.53
22,1,1,success,0.07,0.02,0.09,0.12,0.29
23,1,1,success,0.07,0.02,0.07,0.07,0.23
24,1,1,success,0.11,0.02,0.02,0.03,0.17
