as_number; country; address 
198482,BG,43,25
198920,UA,49,32
151149,IN,20,77
272982,AR,-34,-64
208020,PL,52,20
49592,GB,54,-2
198469,DE,51,9
329250,CI,8,-5
139839,BD,24,90
151215,BD,24,90
198862,GB,54,-2
198513,NL,52.5,5.75
151321,AU,-27,133
151197,LK,7,81
198839,US,38,-97
329252,LY,25,17
141696,BD,24,90
198998,US,38,-97
151080,BD,24,90
263503,US,38,-97
329243,ZA,-29,24
151156,IN,20,77
198738,SC,-4.58,55.67
198749,NL,52.5,5.75
211830,RU,60,100
211664,DE,51,9
59888,GB,54,-2
198890,AL,41,20
151160,IN,20,77
151148,IN,20,77
201967,AL,41,20
61427,GB,54,-2
151200,BD,24,90
272979,PE,-10,-76
151359,BD,24,90
203701,EE,59,26
140036,BD,24,90
329251,TZ, United Republic of",-6198691,RS,44,21
329253,UG,1,32
151188,TW,23.5,1
138493,BD,24,90
198687,NL,52.5,5.75
151114,IN,20,77
48991,RU,60,100
61613,BR,-10,-55
201369,UA,49,32
211381,LV,57,25
273006,CO,4,-72
198953,RU,60,100
198834,US,38,-97
198659,TR,39,35
59867,RU,60,100
18470,US,38,-97
49217,US,38,-97
198711,FR,46,2
198786,ID,-5,120
49775,GB,54,-2
59538,GB,54,-2
198578,US,38,-97
198883,EE,59,26
151184,BD,24,90
64150,HN,15,-86.5
137271,AU,-27,133
58064,GB,54,-2
198895,GB,54,-2
16589,US,38,-97
198810,PL,52,20
151166,IN,20,77
151176,IN,20,77
329248,ZA,-29,24
198825,FR,46,2
151189,PK,30,70
202656,UA,49,32
329255,KE,1,38
48779,TR,39,35
198802,TR,39,35
151330,PK,30,70
198745,DE,51,9
198769,RU,60,100
17024,US,38,-97
202832,RU,60,100
151095,IN,20,77
151207,NP,28,84
273756,BR,-10,-55
198427,HR,45.17,15.5
151084,IN,20,77
151329,AF,33,65
198926,IR, Islamic Republic of",32208949,GB,54,-2
151204,BD,24,90
207924,GB,54,-2
137259,MM,22,98
151196,HK,22.25,114.17
151183,BD,24,90
265076,US,38,-97
212448,TR,39,35
200174,GB,54,-2
207400,AM,40,45
151203,AU,-27,133
210020,TR,39,35
60566,RU,60,100
329247,ZA,-29,24
14956,US,38,-97
151214,BD,24,90
134486,AU,-27,133
273744,BR,-10,-55
140305,TH,15,100
270179,MX,23,-102
58236,RU,60,100
198483,KZ,48,68
198681,RU,60,100
151332,AU,-27,133
198448,FR,46,2
151327,BD,24,90
199487,BR,-10,-55
52025,GB,54,-2
151151,IN,20,77
208381,CH,47,8
151338,HK,22.25,114.17
151081,MY,2.5,112.5
198951,CH,47,8
151356,BD,24,90
210281,GB,54,-2
329254,KE,1,38
202798,IR, Islamic Republic of",32198958,UA,49,32
208312,RU,60,100
151318,BD,24,90
198636,GB,54,-2
151158,IN,20,77
329244,NG,10,8
198587,HR,45.17,15.5
19733,US,38,-97
19369,CA,60,-95
151077,BD,24,90
329246,KE,1,38
198552,AZ,40.5,47.5
199402,TR,39,35
206424,RU,60,100
198803,KZ,48,68
205463,TR,39,35
201452,IR, Islamic Republic of",3233436,US,38,-97
151093,IN,20,77
60812,UA,49,32
199598,US,38,-97
151175,IN,20,77
211286,DE,51,9
48899,RU,60,100
198584,DE,51,9
202431,PL,52,20
198542,RU,60,100
268524,US,38,-97
62447,UZ,41,64
208217,BY,53,28
151343,BD,24,90
198607,FR,46,2
61614,BR,-10,-55
61112,GB,54,-2
273727,BR,-10,-55
270222,MX,23,-102
198629,KG,41,75
198652,TR,39,35
151064,BD,24,90
198990,GB,54,-2
198789,GB,54,-2
198740,GB,54,-2
4826,AU,-27,133
33891,DE,51,9
16265,NL,52.5,5.75
1031,US,38,-97
201053,PL,52,20
62081,PL,52,20
138840,ID,-5,120
59900,BG,43,25
50263,PL,52,20
43531,FR,46,2
36280,US,38,-97
7632,ID,-5,120
40850,US,38,-97
208293,IQ,33,44
137367,ID,-5,120
55794,ID,-5,120
327708,RW,-2,30
41689,IR, Islamic Republic of",3211058,AR,-34,-64
31025,DE,51,9
11383,US,38,-97
273683,BR,-10,-55
17113,US,38,-97
6731,RU,60,100
38757,ID,-5,120
196709,AM,40,45
31713,BE,50.83,4
6682,AM,40,45
328832,ZA,-29,24
41221,MD, Republic of",474779,PH,13,122
31216,FR,46,2
10133,TW,23.5,1
38561,AU,-27,133
38809,AU,-27,133
47734,RO,46,25
8903,ES,40,-4
26105,PA,9,-80
835,CA,60,-95
62513,CA,60,-95
19338,CL,-30,-71
63516,ID,-5,120
58115,CH,47,8
38790,AU,-27,133
567,US,38,-97
135056,HK,22.25,114.17
47400,FR,46,2
4571,ZA,-29,24
18678,CO,4,-72
212261,PL,52,20
271578,BR,-10,-55
57277,RU,60,100
9443,AU,-27,133
20459,NA,-22,17
11956,US,38,-97
9901,NZ,-41,174
132072,AU,-27,133
45274,NP,28,84
38740,BT,27.5,90.5
3204,EE,59,26
17824,HK,22.25,114.17
10437,US,38,-97
131744,ID,-5,120
207811,IQ,33,44
55795,AU,-27,133
150220,ID,-5,120
7617,HK,22.25,114.17
15029,US,38,-97
17984,HK,22.25,114.17
41805,IQ,33,44
266722,PE,-10,-76
272193,BR,-10,-55
264853,PY,-23,-58
11274,US,38,-97
30340,US,38,-97
136776,NP,28,84
2681,CA,60,-95
393423,US,38,-97
5526,PL,52,20
203620,PL,52,20
142135,HK,22.25,114.17
138628,HK,22.25,114.17
54104,US,38,-97
396300,US,38,-97
10130,FM, Federated States of",6.9261448,AR,-34,-64
201376,FR,46,2
41051,CH,47,8
396450,US,38,-97
38861,SG,1.37,103.8
4600,US,38,-97
203072,CZ,49.75,15.5
22661,CL,-30,-71
36412,US,38,-97
28032,PE,-10,-76
22850,US,38,-97
53224,US,38,-97
395880,US,38,-97
262509,US,38,-97
35196,SC,-4.58,55.67
136762,NP,28,84
45157,NP,28,84
51648,PL,52,20
267460,BR,-10,-55
3239,RU,60,100
22637,US,38,-97
42516,RU,60,100
49304,HK,22.25,114.17
208374,LU,49.75,6.17
2874,US,38,-97
7481,TW,23.5,1
22427,US,38,-97
46750,US,38,-97
7533,TW,23.5,1
24133,CN,35,105
1785,US,38,-97
17898,AU,-27,133
52648,BR,-10,-55
37930,TH,15,100
21132,PL,52,20
149876,BD,24,90
27345,US,38,-97
39288,PL,52,20
61127,LV,57,25
13826,CA,60,-95
210233,BE,50.83,4
136072,ID,-5,120
131574,CN,35,105
5583,FR,46,2
6853,US,38,-97
52344,CW,12.169570,-68.990021
19228,CL,-30,-71
52229,PY,-23,-58
52245,PA,9,-80
13368,US,38,-97
286,NL,52.5,5.75
272264,BR,-10,-55
262217,CR,10,-84
209612,UA,49,32
14867,CO,4,-72
148989,TL,-8.556856,125.560310
6458,GT,15.5,-90.25
203086,PL,52,20
34912,IE,53,-8
12857,DE,51,9
133011,IN,20,77
212421,RU,60,100
61609,BR,-10,-55
212203,IQ,33,44
37727,GH,8,-2
136204,AU,-27,133
328303,GH,8,-2
25002,IT,42.83,12.83
61570,US,38,-97
140895,CN,35,105
44266,RU,60,100
150090,IN,20,77
141013,PH,13,122
40786,JM,18.25,-77.5
263523,US,38,-97
41837,RU,60,100
50193,GB,54,-2
23640,JP,36,138
47809,UA,49,32
204765,US,38,-97
34875,RU,60,100
399395,US,38,-97
198148,BE,50.83,4
7876,US,38,-97
196729,PL,52,20
272449,BR,-10,-55
272657,BR,-10,-55
23929,JP,36,138
272601,BR,-10,-55
397842,US,38,-97
8121,US,38,-97
57259,IL,31.5,34.75
16065,NO,62,10
41233,FR,46,2
26406,US,38,-97
7717,ID,-5,120
47756,ES,40,-4
132240,NZ,-41,174
6904,NL,52.5,5.75
16609,US,38,-97
149767,HK,22.25,114.17
207351,RU,60,100
45265,TH,15,100
146919,IN,20,77
51603,GB,54,-2
21103,RU,60,100
15270,US,38,-97
206676,NL,52.5,5.75
4323,US,38,-97
202006,PL,52,20
205266,UA,49,32
394369,CA,60,-95
43975,RU,60,100
271652,BR,-10,-55
59747,CZ,49.75,15.5
272476,BR,-10,-55
264362,US,38,-97
272218,BR,-10,-55
271472,BR,-10,-55
272249,BR,-10,-55
211056,IR, Islamic Republic of",32271722,BR,-10,-55
272213,BR,-10,-55
399772,CA,60,-95
