as_number, country, lat, lon
3356, US, 36.0166304061453, -91.6647856118214
1299, SE, 61.5636112470126, -0.115688975119319
174, US, 41.2244041185513, -76.8743875447016
6939, US, 42.3528091536816, -109.628904528373
6762, IT, 48.8084521751329, -10.2019309017705
2914, US, 48.3509218482557, -116.074618828202
3257, NL, 56.7050200972137, -32.6732149478388
6461, US, 43.9823310017473, -87.8117595625803
6453, US, 55.34459415306, -56.4403769245772
3491, US, 44.8640064465559, -77.1002614660479
9002, GB, 54.4971281754822, 15.7904782964775
1273, EU, 52.2756978682958, -3.99390069281449
5511, FR, 50.9614390939484, -62.5790145446848
4637, HK, 25.3074927250782, 113.446006797166
12956, ES, 16.7766590939957, -48.4404954687839
7473, SG, 6.04518359326733, 105.490375846834
52320, CO, -2.87246294506664, -63.6509081354734
12389, RU, 58.2560493539767, 59.9600634812065
3320, DE, 50.683626434046, 9.52251146201797
1239, US, 39.9812838347014, -87.9155937132434
6830, NL, 50.6923467141816, 11.0947467943395
16735, BR, -20.3138115026069, -47.3061549475118
9498, IN, 22.0915990149577, 77.6953584787392
701, US, 39.9280647428286, -79.2352031256477
3216, RU, 56.3865536926406, 44.9024261953604
7018, US, 38.6468619971138, -97.3428062528865
7195, CO, -3.66889966773537, -71.3200009091207
31133, RU, 56.1447137196192, 44.2016065805
20485, RU, 58.5352718411542, 54.1524446244057
20764, RU, 57.1853544845164, 34.9315763209378
7922, US, 40.6734606900826, -82.047521335336
4755, IN, 19.6245687458755, 76.1185142370343
13786, US, 9.48837183351023, -57.7516289877435
37468, AO, -10.748832852323, 2.64618609927166
10429, BR, -23.52, -46.63
4230, BR, -20.2835098777737, -45.217472883735
28917, LT, 55.3504092531037, 38.155316916313
15412, GB, 49.5830071603323, 74.8111804023499
8359, RU, 56.5904397119657, 40.1411310820199
3549, US, 32.8441209802522, -86.6070670478867
4455, GB, 70.4930649475884, 84.8984198175069
209, US, 39.053314779095, -98.453426658636
262589, BR, -9.14581373173439, -61.2411864728316
7738, BR, -18.4000557467498, -44.8137144048036
35598, RU, 55.8818105409167, 37.4857590387615
8220, GB, 53.0518694930065, 8.88059983785756
58453, CN, 22.2719279753797, 114.179383247209
31500, AG, 56.8685893731492, 26.1132012734326
1221, AU, -33.8414939216307, 145.449688628298
46887, US, 40.1444463650022, -78.465095179345
28329, BR, -14.7007865747687, -50.4793708937509
9049, RU, 56.0923011866284, 48.511302273329
4766, KR, 37.3309475097844, 127.134134564541
11537, US, 42.3166360404111, -83.7008261950275
7843, US, 39.4945931237218, -101.537985458077
53013, BR, -19.5254039957375, -46.7284575150149
9304, HK, 22.3546492361579, 114.139563512965
11164, US, 42.31, -83.7
14840, BR, -22.5522031879114, -46.2486702670229
61568, BR, -9.10552753995058, -39.9764502646683
3303, CH, 47.0337337733279, 7.86053196817404
61832, BR, -6.17978674303133, -42.0408658911658
267613, BR, -23.5206879936639, -46.6327357439139
4134, CN, 29.8736794357849, 113.782188123066
3223, GB, 58.8581019927098, -11.4369572114923
29076, RU, 57.4683851998987, 34.9584324379879
32787, US, 60.5964935005478, -54.5675406955159
41095, GB, 19.5149520358192, 32.671326049174
26615, BR, -22.6712492801955, -46.0555863472536
8167, BR, -22.5368926911019, -50.8332128814109
132602, BD, 23.71, 90.41
12741, PL, 51.7233658924501, 18.7420605149458
23520, US, 16.5315430219009, -78.1684241272727
7545, AU, -34.4957396748431, 143.761714303363
7713, ID, -5.41166263780528, 109.235583541403
22356, BR, -23.4106197497448, -46.9221731207988
20562, NL, 52.09, 4.31
3326, UA, 49.4235088542287, 31.3118896066649
12552, SE, 59.6840976665778, 14.6001929653506
1828, US, 40.7808577474165, -85.061506996812
577, CA, 45.1019397965537, -78.56966521696
22773, US, 36.1695997839012, -100.626272771792
4809, CN, 30.867237984734, 113.108075282808
53062, BR, -26.5299412371262, -50.5599547185198
13335, US, 44.4136544554635, -117.571466336856
28598, BR, -5.03873747698119, -39.3768628579139
2497, JP, 35.7489616435502, 138.672303428749
2516, JP, 35.7857309786874, 138.530474852535
7474, AU, -34.4618365602953, 148.12275538571
24482, SG, 15.4063462001876, 108.889781334173
35297, UA, 49.8196091588308, 30.2337143842392
52468, PA, 7.81660893871848, -80.5281993237924
20115, US, 39.4092962637854, -94.325919161711
6663, RO, 46.3396032940207, 22.4468088276679
9583, IN, 16.9609862829939, 79.5939158372958
20473, US, 67.0099175703453, -87.1159215544404
64049, SG, 5.8848462028745, 96.598459717066
55836, IN, 21.0614778693452, 76.9671470192057
25291, DE, 52.8156435245873, 13.5077908434319
37100, MU, -12.8357481890945, 46.6206140264058
50509, RU, 59.87, 30.44
8966, AE, 31.9670611509793, 48.9692839508071
9318, KR, 37.1974510728555, 127.211255650879
34984, TR, 39.7656107515612, 30.6071644906494
202984, RU, 56.0191539217849, 39.2527272593391
3786, KR, 37.3593276415231, 126.999341124769
24785, NL, 52.1796329849865, 4.49674877926673
9121, TR, 39.7958913350903, 32.0507300414912
50607, PL, 50.7645925419157, 18.5361587570978
5617, PL, 51.6759057336853, 18.9131611759031
20804, PL, 51.8848760421942, 20.3014999059626
7029, US, 37.1509775823348, -87.2559697163296
15830, NL, 56.8113971694753, 4.56425023395601
2828, US, 39.5766557964711, -90.8181907012366
8708, RO, 45.4708648607811, 25.2173957584966
58717, BD, 23.6514044738583, 90.410079870477
31027, DK, 55.6543918972384, 11.743124106253
35320, UA, 49.4201916692183, 30.6691536435812
49666, IR, 35.7960454034801, 51.2870647126198
57724, RU, 53.3067594320224, 35.0498767997527
